epoch,tran_accuracy,tran_loss,val_accuracy,val_loss,learning rate,batchsize,dropout,best
1,0.0912,5.6344,0.0339,62.4073,0.001,32,0.25,
2,0.1556,4.5499,0.0339,30.8956,,,,
3,0.1533,4.3494,0,34.0486,,,,
4,0.1954,4.1205,0.0398,46.2647,,,,
5,0.2073,3.9999,0.0029,22.2761,,,,
6,0.2521,3.529,0.0471,43.2587,,,,
7,0.2854,3.4684,0.0707,27.495,,,,
8,0.2992,3.2087,0.0398,70.5103,,,,
9,0.2989,3.2567,0.1267,17.324,,,,
10,0.3192,3.1158,0.0177,10.8912,,,,
11,0.3452,2.9515,0.0295,24.6666,,,,
12,0.3843,2.8206,0.0589,17.9965,,,,
13,0.4188,2.5362,0.1046,10.296,,,,
14,0.4398,2.3071,0.2224,7.3434,,,,
15,0.4989,2.0687,0.0692,20.6973,,,,
16,0.4962,2.0787,0.0943,20.384,,,,
17,0.4693,2.169,0.0339,58.4241,,,,
18,0.5238,1.9003,0.1473,13.8458,,,,
19,0.5375,2.0922,0.0515,428.1951,,,,
20,0.6602,1.2569,0.2828,19.3023,0.0001,,,
21,0.7437,0.8191,0.6789,1.5551,,,,
22,0.7609,0.739,0.7437,1.3196,,,,
23,0.7843,0.6876,0.7629,1.2801,,,,
24,0.7962,0.6602,0.7703,1.2517,,,,
25,0.813,0.6034,0.7658,1.2675,,,,
26,0.8134,0.5808,0.757,1.3069,,,,
27,0.8153,0.5712,0.7717,1.2945,,,,
28,0.833,0.5401,0.7423,1.34,,,,
29,0.8356,0.5097,0.7673,1.2645,1E-05,,,
30,0.8529,0.4625,0.8012,1.2184,,,,
31,0.8648,0.4368,0.7968,1.2225,,,,
32,0.8659,0.44,0.7997,1.2214,,,,
33,0.8621,0.4396,0.7968,1.2258,,,,
34,0.8625,0.4373,0.7953,1.2241,,,,
35,0.8709,0.4449,0.7938,1.2159,,,,
36,0.8778,0.4054,0.7968,1.2098,,,,
37,0.8759,0.4252,0.8012,1.2012,,,,
38,0.8766,0.4148,0.8012,1.2072,,,,
39,0.8766,0.4136,0.8027,1.2063,,,,
40,0.8789,0.4073,0.7997,1.207,1E-06,,0.1,
41,0.8762,0.4035,0.8012,1.2043,,,,
42,0.8828,0.3872,0.8041,1.2038,,,,
43,0.8709,0.4054,0.8012,1.2074,,,,
44,0.8824,0.4012,0.8027,1.2068,,,,
45,0.8785,0.4145,0.8056,1.2075,,,,
46,0.8774,0.4212,0.8041,1.2114,,,,
47,0.8709,0.4107,0.8041,1.2085,,,,
48,0.8801,0.4077,0.8041,1.2073,1E-07,,,
49,0.8774,0.3939,0.8027,1.2085,,,,
50,0.8793,0.4076,0.8027,1.2063,,,,
51,0.8831,0.3827,0.8012,1.2096,,,,
52,0.8701,0.3982,0.8041,1.2084,,,,
53,0.8797,0.4011,0.8056,1.2081,1E-08,,,
54,0.8709,0.4013,0.8071,1.2074,,,,best
55,0.8789,0.3989,0.8027,1.2089,,,,
56,0.8716,0.4019,0.8041,1.2093,,,,
57,0.8774,0.4003,0.8012,1.2109,,,,
58,0.8701,0.4081,0.8041,1.2085,1E-09,,,
59,0.8793,0.3977,0.8027,1.2096,,,,
60,0.8778,0.4163,0.8027,1.2077,,,,
